YEAR,continet,nums,nums_valid
1830,Africa,0,0
1830,Asia,0,0
1830,Europe,30,19
1830,North America,0,0
1830,Oceania,0,0
1830,South America,0,0
1830,NA,0,0
1831,Africa,0,0
1831,Asia,0,0
1831,Europe,30,19
1831,North America,0,0
1831,Oceania,0,0
1831,South America,0,0
1831,NA,0,0
1832,Africa,0,0
1832,Asia,0,0
1832,Europe,30,19
1832,North America,0,0
1832,Oceania,1,0
1832,South America,0,0
1832,NA,0,0
1833,Africa,0,0
1833,Asia,0,0
1833,Europe,32,21
1833,North America,0,0
1833,Oceania,1,0
1833,South America,0,0
1833,NA,0,0
1834,Africa,0,0
1834,Asia,0,0
1834,Europe,32,21
1834,North America,0,0
1834,Oceania,1,0
1834,South America,0,0
1834,NA,0,0
1835,Africa,0,0
1835,Asia,0,0
1835,Europe,32,21
1835,North America,0,0
1835,Oceania,1,0
1835,South America,0,0
1835,NA,0,0
1836,Africa,0,0
1836,Asia,0,0
1836,Europe,35,24
1836,North America,1,0
1836,Oceania,1,0
1836,South America,0,0
1836,NA,0,0
1837,Africa,0,0
1837,Asia,0,0
1837,Europe,35,24
1837,North America,1,0
1837,Oceania,2,0
1837,South America,0,0
1837,NA,0,0
1838,Africa,0,0
1838,Asia,0,0
1838,Europe,36,25
1838,North America,1,0
1838,Oceania,2,0
1838,South America,0,0
1838,NA,0,0
1839,Africa,0,0
1839,Asia,0,0
1839,Europe,36,25
1839,North America,1,0
1839,Oceania,3,0
1839,South America,0,0
1839,NA,0,0
1840,Africa,0,0
1840,Asia,0,0
1840,Europe,38,27
1840,North America,3,1
1840,Oceania,3,0
1840,South America,0,0
1840,NA,0,0
1841,Africa,0,0
1841,Asia,0,0
1841,Europe,38,27
1841,North America,3,1
1841,Oceania,5,0
1841,South America,0,0
1841,NA,0,0
1842,Africa,0,0
1842,Asia,0,0
1842,Europe,38,27
1842,North America,3,1
1842,Oceania,6,0
1842,South America,0,0
1842,NA,0,0
1843,Africa,0,0
1843,Asia,0,0
1843,Europe,38,27
1843,North America,3,1
1843,Oceania,7,0
1843,South America,0,0
1843,NA,0,0
1844,Africa,0,0
1844,Asia,0,0
1844,Europe,38,27
1844,North America,3,1
1844,Oceania,7,0
1844,South America,0,0
1844,NA,0,0
1845,Africa,0,0
1845,Asia,0,0
1845,Europe,38,27
1845,North America,4,1
1845,Oceania,8,0
1845,South America,0,0
1845,NA,0,0
1846,Africa,0,0
1846,Asia,0,0
1846,Europe,47,36
1846,North America,5,1
1846,Oceania,8,0
1846,South America,0,0
1846,NA,0,0
1847,Africa,0,0
1847,Asia,0,0
1847,Europe,47,36
1847,North America,5,1
1847,Oceania,8,0
1847,South America,0,0
1847,NA,0,0
1848,Africa,0,0
1848,Asia,0,0
1848,Europe,52,41
1848,North America,5,1
1848,Oceania,8,0
1848,South America,0,0
1848,NA,0,0
1849,Africa,0,0
1849,Asia,0,0
1849,Europe,52,41
1849,North America,8,1
1849,Oceania,8,0
1849,South America,0,0
1849,NA,0,0
1850,Africa,1,1
1850,Asia,0,0
1850,Europe,58,47
1850,North America,9,2
1850,Oceania,8,0
1850,South America,0,0
1850,NA,0,0
1851,Africa,1,1
1851,Asia,0,0
1851,Europe,75,64
1851,North America,9,2
1851,Oceania,8,0
1851,South America,0,0
1851,NA,0,0
1852,Africa,2,1
1852,Asia,0,0
1852,Europe,86,71
1852,North America,11,2
1852,Oceania,9,0
1852,South America,29,0
1852,NA,0,0
1853,Africa,2,1
1853,Asia,0,0
1853,Europe,89,73
1853,North America,11,2
1853,Oceania,9,0
1853,South America,29,0
1853,NA,0,0
1854,Africa,2,1
1854,Asia,0,0
1854,Europe,98,82
1854,North America,11,2
1854,Oceania,9,0
1854,South America,29,0
1854,NA,0,0
1855,Africa,2,1
1855,Asia,0,0
1855,Europe,98,82
1855,North America,11,2
1855,Oceania,10,1
1855,South America,29,0
1855,NA,0,0
1856,Africa,2,1
1856,Asia,0,0
1856,Europe,98,82
1856,North America,12,2
1856,Oceania,12,1
1856,South America,29,0
1856,NA,0,0
1857,Africa,3,1
1857,Asia,0,0
1857,Europe,100,84
1857,North America,14,2
1857,Oceania,14,3
1857,South America,29,0
1857,NA,0,0
1858,Africa,3,1
1858,Asia,0,0
1858,Europe,114,98
1858,North America,15,2
1858,Oceania,21,7
1858,South America,29,0
1858,NA,0,0
1859,Africa,3,1
1859,Asia,0,0
1859,Europe,139,123
1859,North America,15,2
1859,Oceania,21,7
1859,South America,29,0
1859,NA,0,0
1860,Africa,3,1
1860,Asia,0,0
1860,Europe,150,131
1860,North America,15,2
1860,Oceania,22,7
1860,South America,29,0
1860,NA,0,0
1861,Africa,3,1
1861,Asia,0,0
1861,Europe,153,132
1861,North America,15,2
1861,Oceania,28,8
1861,South America,29,0
1861,NA,0,0
1862,Africa,3,1
1862,Asia,0,0
1862,Europe,158,136
1862,North America,15,2
1862,Oceania,30,9
1862,South America,29,0
1862,NA,0,0
1863,Africa,3,1
1863,Asia,0,0
1863,Europe,166,141
1863,North America,15,2
1863,Oceania,35,11
1863,South America,29,0
1863,NA,0,0
1864,Africa,3,1
1864,Asia,0,0
1864,Europe,166,141
1864,North America,15,2
1864,Oceania,40,12
1864,South America,29,0
1864,NA,0,0
1865,Africa,3,1
1865,Asia,0,0
1865,Europe,169,144
1865,North America,17,2
1865,Oceania,47,13
1865,South America,29,0
1865,NA,0,0
1866,Africa,3,1
1866,Asia,3,0
1866,Europe,231,180
1866,North America,27,3
1866,Oceania,52,14
1866,South America,29,0
1866,NA,0,0
1867,Africa,3,1
1867,Asia,3,0
1867,Europe,245,191
1867,North America,30,3
1867,Oceania,59,17
1867,South America,29,0
1867,NA,0,0
1868,Africa,3,1
1868,Asia,3,0
1868,Europe,272,217
1868,North America,32,4
1868,Oceania,73,20
1868,South America,29,0
1868,NA,0,0
1869,Africa,4,2
1869,Asia,3,0
1869,Europe,272,217
1869,North America,35,5
1869,Oceania,110,52
1869,South America,29,0
1869,NA,0,0
1870,Africa,4,2
1870,Asia,3,0
1870,Europe,282,227
1870,North America,50,7
1870,Oceania,136,62
1870,South America,29,0
1870,NA,0,0
1871,Africa,5,3
1871,Asia,3,0
1871,Europe,302,246
1871,North America,83,19
1871,Oceania,156,70
1871,South America,29,0
1871,NA,0,0
1872,Africa,5,3
1872,Asia,3,0
1872,Europe,305,249
1872,North America,110,30
1872,Oceania,195,94
1872,South America,29,0
1872,NA,0,0
1873,Africa,5,3
1873,Asia,3,0
1873,Europe,312,256
1873,North America,117,36
1873,Oceania,251,123
1873,South America,29,0
1873,NA,0,0
1874,Africa,5,3
1874,Asia,3,0
1874,Europe,336,277
1874,North America,129,40
1874,Oceania,279,131
1874,South America,29,0
1874,NA,0,0
1875,Africa,5,3
1875,Asia,3,0
1875,Europe,365,297
1875,North America,136,40
1875,Oceania,298,143
1875,South America,29,0
1875,NA,0,0
1876,Africa,5,3
1876,Asia,3,0
1876,Europe,403,326
1876,North America,145,43
1876,Oceania,329,160
1876,South America,29,0
1876,NA,0,0
1877,Africa,27,15
